trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.02, 'e': 0.039163895098987066}",25,17,14.327190031518343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.038388398017552054}",30,13,19.46691192993246,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': 0.0376282568071762}",20,13,15.106674641252404,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.036883167401239994}",20,15,11.151087798795096,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.03615283175404641}",30,24,13.263663421201358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,2,27.5610040830899,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.02, 'e': 0.03473525894473856}",25,8,31.810508744822425,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': 0.034047454734599344}",25,14,13.091063798189385,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': 0.03337326996032608}",30,18,22.721767524142685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.03271243493901982}",20,10,18.252885004677882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.02, 'e': 0.03206468532786077}",35,21,27.797286222320235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.03142976201836771}",20,11,16.435976947489756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': 0.030807411032751076}",25,14,23.401199467480055,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': 0.0301973834223185}",25,7,31.816307348579084,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029599435167892}",20,12,17.735429774840433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.02, 'e': 0.029013327082197053}",30,17,27.65890020896991,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.028438824714184505}",35,23,20.47717638522885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.027875698255247015}",25,16,19.405870008292958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': 0.02732372244729256}",30,18,9.325010379185919,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
